fileId,fileUrls from query MOD021KM--61 2024-06-01..2024-06-30 x-94y30.5 x-88y27.5[5],size
8278592176,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2024158.1625.061.2024159134457.hdf,164233696
8277238303,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2024157.1545.061.2024158041859.hdf,164938101
8276364196,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2024156.1645.061.2024157134900.hdf,166463205
8275739263,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2024156.1505.061.2024157034728.hdf,169922377
8274048958,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2024155.1600.061.2024156034206.hdf,165112559
8273878504,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2024155.1605.061.2024156011442.hdf,169057643
8272158111,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2024154.1700.061.2024155011413.hdf,165981855
8272158105,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2024154.1525.061.2024155011417.hdf,170905885
8272158104,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2024154.1520.061.2024155011432.hdf,166668967
8269636496,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2024153.1620.061.2024154010959.hdf,160886570
